,ID_REF,m2h 1-pvalue,m2h stat,m2h2-pvalue
35679,226423_at,2.88E-11,-7.368151541,5.76E-11
43345,234095_at,4.79E-10,-6.776455641,9.58E-10
16424,206978_at,1.20E-09,-6.57940788,2.41E-09
16437,206991_s_at,1.56E-09,-6.522997752,3.13E-09
16837,207394_at,2.77E-09,-6.39899271,5.54E-09
29428,220144_s_at,2.99E-09,-6.382171807,5.99E-09
38621,229367_s_at,1.09E-08,-6.099255191,2.18E-08
42227,232974_at,1.37E-08,-6.048186682,2.74E-08
43102,233852_at,1.39E-08,-6.044564539,2.78E-08
32654,223377_x_at,1.60E-08,-6.013410684,3.20E-08
29208,219924_s_at,2.12E-08,-5.950809217,4.24E-08
48891,239642_at,2.40E-08,-5.923427782,4.79E-08
6472,1562245_a_at,2.47E-08,-5.916265463,4.95E-08
37325,228071_at,2.49E-08,-5.915144788,4.97E-08
6755,1562697_at,2.60E-08,-5.905072948,5.20E-08
44553,235304_at,2.76E-08,-5.892023207,5.51E-08
5194,1560147_at,3.22E-08,-5.857079308,6.44E-08
30506,221223_x_at,3.81E-08,-5.819003857,7.63E-08
46000,236751_at,4.29E-08,-5.792411503,8.58E-08
8064,1565882_at,4.50E-08,-5.781817381,8.99E-08
52707,243458_at,6.03E-08,-5.715098234,1.21E-07
38060,228806_at,6.07E-08,-5.713779029,1.21E-07
32864,223588_at,7.85E-08,-5.655059114,1.57E-07
28778,219494_at,7.88E-08,-5.654111634,1.58E-07
14851,205404_at,8.00E-08,-5.650699765,1.60E-07
57,1552321_a_at,8.43E-08,-5.638818925,1.69E-07
28019,218735_s_at,8.47E-08,-5.637678402,1.69E-07
50831,241582_at,8.54E-08,-5.635757557,1.71E-07
38618,229364_at,9.15E-08,-5.620121394,1.83E-07
45028,235779_at,9.41E-08,-5.613690994,1.88E-07
36741,227486_at,1.07E-07,-5.584582042,2.14E-07
49111,239862_at,1.09E-07,-5.580311505,2.18E-07
